16081,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
143,118,137,942,1616,6482,147140,1338,11956,180864,471,423,368,298,280,228,243,293,439,1389,HETERO
41,52,115,1220,2033,9603,253135,492,791,1119,289,382,305,231,245,162,150,141,140,273,HOMO
28,29,46,461,714,4079,119563,180,463,790,92,151,110,65,107,92,78,96,144,514,HOMO
20,19,37,382,641,3182,88194,207,335,553,95,133,117,81,65,78,69,42,47,118,HOMO
31,18,41,632,978,4920,135532,207,539,624,82,126,111,119,88,76,63,56,41,101,HOMO
290,12,12,96,147,802,23475,45,60,144,30,41,30,25,26,17,16,18,32,126,HOMO
20,13,27,402,673,2696,57522,1743,33578,2913,76,229,169,109,103,71,53,63,83,210,HETERO
42,45,188,963,1718,9415,270275,457,969,1088,185,265,266,218,168,155,141,142,186,607,HOMO
24,20,76,367,1192,37446,40942,137,269,285,73,140,138,90,66,58,65,73,99,347,HETERO
28,28,55,410,628,2852,68177,563,4536,69096,191,210,197,136,129,101,154,145,197,912,HETERO
65,43,113,971,1383,8335,239700,497,665,1036,245,459,315,276,250,211,201,232,350,1244,HOMO
62,74,122,1873,2832,12216,284028,6577,6207,193200,3450,882,908,657,536,435,438,450,687,2393,HETERO
444,449,440,1692,2478,11252,287832,1011,1876,2301,872,1022,804,719,659,666,685,769,1021,2606,HOMO
929,875,894,1313,1542,3707,72550,1547,7123,104255,1119,1167,1034,948,934,922,936,994,1155,2052,HETERO
460,379,461,1180,1596,7970,200309,8877,7932,248605,5063,1042,1008,630,640,548,620,695,839,2268,HETERO
664,666,628,1658,2478,7487,153069,2714,18389,286404,1154,1103,1136,864,891,918,818,935,1020,2792,HETERO
119,90,175,1490,2217,9040,214521,2558,25083,401949,846,757,709,430,380,384,379,561,933,3726,HETERO
14,21,51,571,819,4461,125455,233,595,709,141,258,174,129,137,101,110,117,170,645,HOMO
6,6,20,109,190,1449,38654,67,159,194,39,42,36,26,26,15,26,38,81,338,HOMO
29,19,67,631,1158,4127,94206,781,4469,71988,169,176,155,123,102,82,81,97,118,440,HETERO
27,22,46,575,867,4767,134264,219,514,606,146,234,188,144,113,98,111,128,147,510,HOMO
44,44,84,829,1322,8094,244460,431,701,1215,170,262,235,208,141,145,156,150,177,704,HOMO
26,37,42,570,888,4425,110445,634,5187,87981,244,204,200,138,112,109,111,122,182,602,HETERO
9,8,23,170,325,2292,50988,336,222,542,47,61,59,65,73,31,31,44,69,230,HOMO
31,44,84,517,891,5386,166776,222,406,482,114,178,132,91,93,100,86,199,286,703,HOMO
13,28,45,632,932,5176,158892,258,596,705,140,168,147,101,81,68,85,121,230,821,HOMO
795,868,876,1118,1342,4083,106391,981,1071,1070,884,839,878,800,816,871,827,899,953,1416,HOMO
34,31,25,475,675,3646,114492,183,417,377,88,113,68,77,65,50,63,88,228,649,HOMO
39,18,88,841,1282,5746,160549,280,730,837,210,305,245,243,179,150,148,175,221,723,HOMO
66,48,83,849,1243,7282,200607,383,578,876,210,295,221,194,183,160,128,146,192,558,HOMO
49,0,2,9,12,52,2246,7,7,68,5,4,0,0,2,1,0,2,1,14,HOMO
31,12,17,207,290,1390,41115,68,109,196,75,77,73,38,41,34,39,31,64,150,HOMO
19,28,58,501,822,3374,82524,556,4206,69051,167,232,248,120,109,110,127,143,200,691,HETERO
25,41,79,639,929,5062,139769,353,514,602,157,281,277,261,182,152,150,187,248,876,HOMO
30,33,68,561,785,4344,129545,273,373,509,129,226,184,161,123,111,109,126,178,497,HOMO
29,25,42,571,854,4628,135664,256,623,736,151,217,170,112,117,98,145,113,163,582,HOMO
250,217,280,573,776,3796,102149,387,448,651,244,336,284,344,254,261,296,287,335,596,HOMO
275,272,300,576,783,3241,86292,444,573,582,319,390,373,385,305,346,330,355,409,852,HOMO
215,224,256,1210,1843,8456,230172,579,1021,1008,351,513,499,464,354,372,393,423,513,1298,HOMO
84,49,186,1434,2236,12458,373599,655,979,1235,294,555,513,382,351,272,244,333,511,1998,HOMO
64,54,72,611,922,2526,29707,1533,7426,118392,384,315,597,695,899,1132,1491,1912,2496,7564,HETERO
4,2,7,91,113,439,11961,53,333,6121,29,13,17,13,21,18,14,8,13,28,HETERO
18,3,8,7,7,50,472,7,32,460,3,6,9,4,12,3,4,2,2,9,HETERO
3,7,14,109,133,1258,41217,55,55,106,26,50,47,19,26,23,25,50,88,417,HOMO
1,4,9,50,74,737,25998,33,39,75,3,11,17,14,8,7,9,21,32,153,HOMO
31,24,56,652,992,4554,126107,277,402,591,138,244,253,191,163,115,120,138,172,386,HOMO
48,20,75,953,1549,6103,160040,498,440,602,153,235,249,272,245,192,191,234,270,899,HOMO
24,45,45,436,740,2078,41364,686,4040,64996,164,157,153,154,130,146,137,163,265,1167,HETERO
299,317,327,446,454,918,13967,669,8076,1355,339,345,369,331,328,307,295,334,297,308,HETERO
198,225,229,535,696,2644,61843,791,5759,92778,344,319,310,235,243,257,247,282,373,1066,HETERO
81,54,63,609,1034,4103,103921,1183,11414,183174,391,307,257,173,166,160,204,205,428,1680,HETERO
32,81,69,885,1343,7509,237025,503,799,576,112,196,195,193,164,133,193,266,492,2276,HOMO
68,23,46,458,810,3037,68868,683,5060,82877,174,196,215,142,103,88,105,138,237,1032,HETERO
5,7,13,261,342,2171,60198,157,167,248,53,82,96,61,31,49,40,49,87,339,HOMO
20,19,40,509,867,3474,86806,765,4120,71286,142,122,133,96,97,58,82,96,135,595,HETERO
9,28,31,322,516,1982,43141,338,2615,46266,112,169,170,108,84,80,87,87,144,559,HETERO
27,31,37,509,720,3621,100229,2765,60024,5087,112,228,147,120,108,104,94,90,113,356,HETERO
35,49,79,638,1043,7270,248034,434,645,836,109,185,205,140,113,116,116,104,178,675,HOMO
12,6,30,190,279,1611,48546,85,90,123,24,21,21,14,28,57,48,24,29,57,HOMO
12,13,29,180,598,18281,30129,170,246,2864,80,60,54,41,39,41,26,34,42,72,HETERO
18,10,9,67,171,836,29699,191,1702,28707,31,9,19,6,3,3,4,5,5,16,HETERO
11,27,35,186,322,2075,42585,322,196,529,60,90,39,63,43,39,41,27,57,109,HOMO
24,20,65,849,1442,6850,205985,368,747,526,101,222,187,136,129,146,121,148,224,710,HOMO
24,27,35,481,658,4270,123574,263,389,485,129,163,133,127,106,95,107,103,159,528,HOMO
17,22,61,675,1149,4708,117939,375,368,471,101,234,254,260,209,182,161,183,213,535,HOMO
9,8,36,250,457,2003,50030,377,2056,32384,87,91,61,55,51,33,29,26,29,56,HETERO
28,75,168,699,1337,8459,194262,1187,877,2017,218,243,176,160,137,131,156,134,141,323,HOMO
13,18,13,47,99,810,29912,152,1788,33501,27,7,16,6,4,3,4,0,3,22,HETERO
70,67,140,1472,2416,8482,169098,1501,7392,113985,495,603,719,725,576,524,506,466,521,1170,HETERO
27,36,58,562,864,3618,75803,576,3435,50734,213,309,288,237,155,148,131,132,175,470,HETERO
31,20,73,893,1454,7409,247517,400,750,714,136,153,145,134,116,114,105,114,168,463,HOMO
1,10,25,258,444,1625,39691,638,674,21664,386,98,105,93,65,60,29,41,41,73,HETERO
30,21,23,259,477,2499,68653,1632,1678,51787,1039,150,132,82,79,47,51,33,96,346,HETERO
6,11,37,253,412,1774,41340,375,3864,60143,160,138,116,83,49,61,59,94,160,565,HETERO
5,1,7,83,122,1295,41882,62,227,211,43,56,28,29,25,14,35,48,89,343,HOMO
13,16,33,339,594,2775,69357,4473,90147,7385,83,251,121,51,67,63,62,107,188,708,HETERO
31,43,41,420,709,2736,58186,672,4887,82796,166,158,174,99,98,90,95,135,206,812,HETERO
2,10,8,92,162,903,26322,55,105,100,14,14,20,14,19,18,15,10,17,33,HOMO
31,13,50,291,490,3351,99610,128,276,408,46,108,102,80,64,63,44,37,51,256,HOMO
41,15,32,306,503,3098,85712,121,362,305,50,84,88,65,46,65,41,51,59,179,HOMO
33,17,54,508,781,3925,118558,239,391,595,142,187,160,132,113,85,106,103,120,466,HOMO
10,11,17,206,262,1621,47162,74,169,410,42,45,48,40,37,31,35,37,20,75,HOMO
22,17,34,364,611,3675,112606,186,370,396,76,139,90,101,71,61,95,79,109,431,HOMO
15,27,80,349,630,3865,82152,626,558,1139,75,132,112,104,89,100,54,78,113,420,HOMO
45,84,147,1288,2078,7173,143866,1654,7894,117183,398,510,465,384,336,283,245,235,219,494,HETERO
82,60,125,986,1752,5894,127160,1609,7555,112024,405,699,491,257,253,215,199,191,166,331,HETERO
92,58,121,1603,2566,11603,331760,679,1373,1338,310,558,432,329,325,275,271,278,191,471,HOMO
