16764,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
237,302,404,2254,951,7265,225624,1799,784,5233,1122,2221,2308,2066,2011,2337,4632,1446,1145,4397,HOMO
253,212,393,1091,2865,17501,201190,5089,3070,15868,153610,1836,1175,1572,936,825,751,596,522,895,HETERO
416,397,445,667,939,2204,13628,645,1266,13890,480,404,471,437,447,401,356,385,423,405,HETERO
92,58,121,1603,2566,11603,331760,679,1373,1338,310,558,432,329,325,275,271,278,191,471,HOMO
0,0,2,35,10,84,2501,26,9,13,0,0,2,2,2,1,1,2,0,10,HOMO
37,41,222,5061,1734,5123,101304,1158,576,758,206,320,330,391,459,723,879,555,461,1305,HETERO
31,51,294,9372,2573,6338,136516,1805,957,1992,269,372,399,371,263,333,346,404,493,1818,HOMO
0,0,0,10,2,24,563,41,609,82,7,1,1,5,1,2,2,0,1,3,HOMO
167,155,264,401,829,4273,51112,887,381,781,336,279,277,244,204,163,182,166,185,268,HOMO
48,20,75,953,1549,6103,160040,498,440,602,153,235,249,272,245,192,191,234,270,899,HOMO
10,4,2,25,7,87,2354,16,9,27,7,8,7,6,7,3,4,7,16,12,HOMO
17,22,29,72,53,390,11212,177,698,8595,152,133,316,135,154,156,136,191,393,469,HETERO
47,33,52,231,130,914,22642,157,109,321,106,123,129,144,145,142,154,144,279,166,HOMO
181,130,185,568,1542,11213,209381,2259,810,1999,722,618,575,520,405,431,351,299,258,427,HOMO
22,34,193,4155,1266,3703,70554,725,510,578,153,192,237,179,145,156,196,249,302,1122,HOMO
13,5,8,45,16,142,3400,61,411,5169,42,47,60,27,25,17,24,12,8,61,HETERO
0,1,1,41,17,154,4803,56,21,17,1,9,3,4,5,3,5,4,1,16,HETERO
8,10,70,1991,536,1339,29026,347,225,746,72,138,68,66,93,85,103,59,93,276,HOMO
29,4,6,16,14,161,3483,56,310,3471,33,19,39,9,22,12,24,16,34,88,HETERO
109,160,866,21310,5168,14367,321023,4065,2242,3481,905,1619,2497,3463,1340,977,941,1061,1239,4032,HOMO
34,61,206,4872,1663,3242,48431,2585,1454,35486,1050,372,644,312,336,329,284,342,538,1476,HOMO
41,54,540,14320,4076,12100,258556,3322,1660,2987,715,958,815,743,719,699,740,801,1000,3675,HOMO
105,147,1055,25718,5874,12918,224668,5175,14604,222432,2219,2042,3152,4084,1747,1271,970,1130,1550,4919,HOMO
324,341,368,404,413,1183,19447,509,408,544,395,372,383,355,356,346,391,325,368,549,HOMO
6,7,63,1776,462,1431,25333,461,286,1920,17458,263,238,194,297,367,186,126,121,504,HOMO
23,37,17,77,128,732,21351,89,89,91,30,40,27,47,31,26,34,26,37,70,HOMO
11,24,201,6999,1889,4418,92038,861,575,1571,231,218,195,161,141,143,163,197,238,805,HOMO
1587,1586,1515,1791,1811,3154,50192,1676,1762,1812,1513,1506,1622,1645,1554,1529,1600,1641,1589,1716,HOMO
41,52,115,1220,2033,9603,253135,492,791,1119,289,382,305,231,245,162,150,141,140,273,HOMO
9,14,12,11,25,49,323,441,6508,11090,108,78,439,95,158,192,198,180,204,1143,HETERO
40,64,95,530,242,1611,43814,416,195,1223,272,460,450,441,499,494,352,358,442,1396,HOMO
181,130,185,568,1542,11213,209381,2259,810,1999,722,618,575,520,405,431,351,299,258,427,HOMO
0,0,0,17,4,58,1617,8,8,7,0,4,4,2,1,1,1,1,6,9,HETERO
115,137,231,793,542,3097,88202,1345,6074,87224,1055,1044,2572,1142,1430,1622,1798,1701,1999,6555,HETERO
131,128,137,329,209,969,21403,430,304,1301,348,483,489,432,422,358,336,307,288,472,HOMO
573,613,698,1015,1495,3027,14911,1030,1897,16176,748,690,633,601,603,636,651,579,592,689,HETERO
97,125,103,116,163,337,5628,196,603,8115,118,111,115,146,119,121,79,105,107,190,HETERO
0,0,3,56,10,57,2383,147,1980,34,0,6,7,7,7,15,3,4,7,59,HETERO
105,147,1055,25718,5874,12918,224668,5175,14604,222432,2219,2042,3152,4084,1747,1271,970,1130,1550,4919,HOMO
384,331,441,2140,987,9783,323681,2949,1115,6988,1360,2473,2342,2105,2060,2160,2206,2725,5492,4649,HOMO
20,11,14,96,78,690,15801,235,1326,14613,112,96,145,72,96,87,99,170,422,65,HETERO
138,151,422,1091,2048,12317,104610,1731,743,2357,974,924,690,475,370,295,227,226,194,351,HETERO
21,35,312,10137,3035,5830,95773,1668,6012,89725,678,401,402,339,280,265,288,379,545,1831,HOMO
80,92,491,13384,3833,8989,192056,2702,1048,1946,467,648,609,531,466,642,596,709,901,3173,HOMO
0,2,3,5,3,6,213,13,40,217,5,4,19,6,1,10,9,9,14,33,HETERO
2,2,3,8,8,49,920,19,153,1638,17,13,20,11,7,12,4,5,3,29,HETERO
0,0,0,2,1,5,186,0,1,1,0,0,1,0,0,0,0,0,0,1,HETERO
101,102,135,143,158,246,1480,777,7720,119670,1371,608,3216,815,1211,1082,1091,1132,1077,4957,HOMO
0,0,1,19,9,60,2086,16,8,15,0,1,2,1,2,0,2,2,0,6,HOMO
0,0,1,6,2,11,615,28,399,7,0,1,0,1,1,1,0,1,0,7,HETERO
2,3,23,661,53,354,7860,91,486,7076,22,51,43,39,29,18,21,17,10,19,HETERO
40,41,55,273,163,944,27727,365,1903,25981,292,331,889,444,538,438,368,453,947,942,HETERO
0,0,1,15,5,55,1726,20,6,9,0,2,3,4,1,1,1,3,0,22,HETERO
101,102,135,143,158,246,1480,777,7720,119670,1371,608,3216,815,1211,1082,1091,1132,1077,4957,HOMO
67,88,627,15813,4456,12011,258424,3207,1576,2185,511,812,734,1107,1726,2094,1101,812,931,2987,HOMO
11,16,105,847,523,5917,74273,2246,11016,68181,620,260,307,78,61,45,41,18,26,18,HETERO
0,0,0,25,3,71,2063,86,1122,163,5,13,2,2,3,1,3,3,0,7,HOMO
80,92,491,13384,3833,8989,192056,2702,1048,1946,467,648,609,531,466,642,596,709,901,3173,HETERO
16,14,36,132,241,1621,16979,189,72,289,108,114,67,40,33,23,19,12,19,23,HOMO
0,1,2,50,17,181,6157,69,25,33,3,17,13,22,16,3,8,5,3,51,HOMO
215,224,256,1210,1843,8456,230172,579,1021,1008,351,513,499,464,354,372,393,423,513,1298,HOMO
22,79,81,848,845,8145,137856,11176,115383,1020,115,138,36,42,37,26,26,26,25,24,HETERO
253,212,393,1091,2865,17501,201190,5089,3070,15868,153610,1836,1175,1572,936,825,751,596,522,895,HETERO
16,11,10,55,125,1300,18430,413,94,267,38,22,19,24,21,14,14,7,16,33,HOMO
131,153,712,12897,3900,14335,306212,4796,2162,3453,849,1233,1176,1199,1223,1299,1536,2479,2898,6556,HOMO
68,74,369,11059,3141,7385,143043,1709,902,1411,345,501,444,404,315,365,486,492,640,2492,HOMO
120,121,696,15181,3393,9887,211606,4210,1495,2345,648,865,918,804,888,1095,1497,1768,1380,3730,HOMO
110,116,118,264,386,1541,45529,251,234,293,140,166,143,143,131,155,156,138,117,291,HOMO
0,0,0,0,1,16,458,2,0,1,0,0,0,0,0,0,0,0,0,0,HOMO
56,55,136,149,184,333,1205,876,8920,132375,922,445,3693,1097,3957,932,751,689,699,4155,HOMO
16,17,9,75,109,575,19665,66,63,77,13,26,27,26,16,15,16,15,22,76,HOMO
1587,1586,1515,1791,1811,3154,50192,1676,1762,1812,1513,1506,1622,1645,1554,1529,1600,1641,1589,1716,HOMO
