,CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20
CAG1,-12.69723367,-13.33322244,-14.31742438,-15.09512895,-15.53044702,-15.15575357,-14.49435509,-15.03797053,-14.88381985,-14.83729984,-15.15575357,-14.98390331,-14.83729984,-14.93261002,-15.03797053,-15.22029209,-14.09970089,-13.22786193,-13.54631566,-10.36982555
CAG2,-13.9029906,-15.09512895,-14.98390331,-14.98390331,-14.88381985,-15.09512895,-13.42853262,-15.22029209,-15.03797053,-14.19067267,-15.6257572,-15.09512895,-15.44343564,-15.22029209,-15.22029209,-13.95805038,-13.16616836,-13.42853262,-13.3639941,-10.04678237
CAG3,-14.09970089,-14.98390331,-14.75028846,-14.52714491,-14.63250543,-14.43183473,-12.38707875,-14.29075613,-13.93935824,-13.49752549,-14.49435509,-14.63250543,-14.14415266,-14.23946284,-13.42853262,-11.9960971,-12.56236628,-12.51669624,-11.58622087,-9.748301568
CAG4,-15.36339293,-15.6257572,-15.28928496,-15.22029209,-14.93261002,-14.46260639,-11.7441934,-14.63250543,-14.03652199,-12.8163545,-14.70946647,-14.49435509,-14.09970089,-12.94473567,-11.47314373,-12.03393946,-11.96219555,-11.04283262,-10.80145148,-8.722512075
CAG5,-15.22029209,-15.15575357,-15.15575357,-14.88381985,-14.67024575,-14.59613778,-11.35326645,-14.79284808,-13.3639941,-12.07327037,-13.25551346,-11.03875098,-10.16150175,-8.697415286,-9.391150413,-9.170087048,-8.321241252,-8.10693285,-6.671613152,-5.658135894
CAG6,-14.83729984,-14.98390331,-14.88381985,-14.63250543,-14.63250543,-13.88529102,-10.87821977,-14.49435509,-12.80437831,-11.81687495,-13.3639941,-11.58622087,-10.3076372,-11.77136331,-11.09100948,-10.10469636,-10.02770568,-8.528621998,-8.508308416,-7.869519047
CAG7,-14.93261002,-14.43183473,-14.75028846,-14.67024575,-14.75028846,-13.25551346,-10.27627155,-13.25551346,-11.2129589,-10.71531063,-12.27585311,-10.36462262,-10.17428965,-11.18546166,-9.930679164,-9.76753837,-8.289406394,-8.33008997,-9.168516696,-7.70953318
CAG8,-14.56104646,-14.98390331,-14.63250543,-14.43183473,-13.92100911,-12.46451049,-9.640562264,-11.34770315,-9.111044507,-9.561274558,-10.94826635,-12.12622392,-10.35686864,-9.900213232,-9.688748837,-8.227154538,-8.245626106,-9.123717059,-8.415086466,-8.105251676
CAG9,-14.43183473,-14.01631929,-13.67984705,-13.43970592,-12.85316848,-11.64794645,-9.103223321,-9.250902751,-6.881874749,-8.208657392,-10.47884429,-11.18310594,-9.792702388,-9.649152514,-8.172485056,-8.178938754,-9.071254156,-8.346300441,-8.823695824,-8.489512682
CAG10,-13.95805038,-14.03652199,-13.34337481,-12.80437831,-12.51669624,-11.40477998,-8.609685776,-10.92527683,-8.706864175,-6.197510968,-8.16222205,-9.73107892,-9.443465701,-8.126389249,-8.158500423,-9.123117089,-8.360817105,-8.812092843,-9.27260529,-8.851419033
CAG11,-13.49752549,-13.34337481,-12.86574726,-12.62503738,-12.24816968,-10.47015613,-7.355744136,-10.31699457,-8.616438604,-6.2453703,-10.01080594,-9.458660082,-7.963853717,-8.30721765,-9.127475049,-8.341073469,-8.741680047,-9.180196122,-9.576731541,-9.236020014
CAG12,-12.41088939,-12.29355269,-12.31521418,-12.00676387,-11.622067,-8.975219451,-5.535964368,-11.01460494,-9.568973185,-7.829329074,-9.603278598,-8.146739927,-7.863416393,-9.102782436,-8.322789188,-8.709141291,-9.177500916,-9.476007672,-9.543995013,-10.143453
CAG13,-14.01631929,-14.01631929,-13.72364967,-12.78084781,-12.07613981,-9.90380742,-7.081260172,-10.34713246,-8.435608809,-6.792309055,-8.193865281,-8.322654489,-8.452182094,-8.53343289,-8.66845014,-9.129434799,-9.420795477,-9.456355693,-10.54995858,-10.45186991
CAG14,-12.76928699,-12.89138969,-12.37151423,-11.1901898,-10.601219,-8.057894593,-5.330805427,-8.777115184,-6.831477873,-4.954560132,-7.233197956,-8.999834467,-7.647240559,-9.050960336,-9.119076679,-9.385676304,-9.381590297,-10.48878298,-11.40477998,-10.09434595
CAG15,-11.14728467,-11.11819984,-10.82009815,-9.689276959,-9.108824751,-6.216623346,-3.561895216,-7.497024516,-5.174336116,-3.185815525,-5.856572765,-8.369248266,-7.922433539,-9.3392006,-9.256712746,-9.265837369,-10.32494295,-11.2057125,-10.63668608,-9.620882964
CAG16,-11.70378386,-11.66114174,-11.18900566,-10.50716476,-9.672773638,-7.255116956,-3.927138367,-7.426073184,-6.279348654,-4.513433188,-8.224953376,-8.831394607,-8.414791045,-9.417167172,-9.256712746,-10.27058702,-11.1949404,-10.72568109,-10.93900703,-9.990253564
CAG17,-10.18637439,-10.13640633,-9.814017582,-9.098969556,-8.345404415,-5.971000272,-2.613103335,-6.461701631,-4.919176728,-3.056727234,-8.240526275,-9.148323403,-8.773831804,-9.114011869,-10.10629828,-10.86443833,-10.36047969,-10.47015613,-10.43948934,-9.210496586
CAG18,-10.9371654,-10.72866395,-9.985980053,-8.558778414,-8.366359618,-6.001778543,-2.95116734,-7.320446206,-4.89822579,-3.49138412,-8.677147925,-9.180354889,-8.90589899,-10.18985417,-11.0056984,-10.41900703,-10.63328587,-10.48350902,-10.8921938,-9.206902986
